0:0:0:0:0:0:0:1 - - [01/May/2024:20:28:40 +0530] "GET /expense_tracker/images/ex2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2024:20:28:40 +0530] "GET /expense_tracker/ex2.jpg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [01/May/2024:20:31:43 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 3030
0:0:0:0:0:0:0:1 - - [01/May/2024:20:31:43 +0530] "GET /expense_tracker/images/ex3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2024:20:31:43 +0530] "GET /expense_tracker/ex2.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [01/May/2024:20:31:43 +0530] "GET /expense_tracker/images/ex2.jpeg HTTP/1.1" 200 240432
0:0:0:0:0:0:0:1 - - [01/May/2024:20:32:30 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [01/May/2024:20:32:30 +0530] "GET /expense_tracker/images/ex3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2024:20:32:30 +0530] "GET /expense_tracker/images/ex2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2024:20:32:31 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [01/May/2024:20:32:53 +0530] "GET /expense_tracker/login.jsp HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [01/May/2024:20:32:55 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [01/May/2024:20:32:55 +0530] "GET /expense_tracker/images/ex2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2024:20:35:24 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [01/May/2024:20:35:24 +0530] "GET /expense_tracker/images/ex3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2024:20:35:24 +0530] "GET /expense_tracker/images/ex2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2024:20:35:24 +0530] "GET /expense_tracker/images/ex1.jpg HTTP/1.1" 200 8332
0:0:0:0:0:0:0:1 - - [01/May/2024:20:35:25 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 3051
