127.0.0.1 - - [26/May/2024:12:21:28 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:29 +0530] "GET /expense_tracker/ HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:30 +0530] "GET /expense_tracker/images/ex2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:30 +0530] "GET /expense_tracker/images/ex3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:30 +0530] "GET /expense_tracker/images/ex1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:30 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:31 +0530] "GET /expense_tracker/index.jsp HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:35 +0530] "GET /expense_tracker/login.jsp HTTP/1.1" 200 3091
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:48 +0530] "POST /expense_tracker/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:48 +0530] "GET /expense_tracker/user/home.jsp HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:50 +0530] "GET /expense_tracker/user/view_expense.jsp HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:54 +0530] "GET /expense_tracker/user/add_expense.jsp HTTP/1.1" 200 3680
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:55 +0530] "GET /expense_tracker/user/view_expense.jsp HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:56 +0530] "GET /expense_tracker/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2024:12:21:56 +0530] "GET /expense_tracker/login.jsp HTTP/1.1" 200 3178
0:0:0:0:0:0:0:1 - - [26/May/2024:12:22:03 +0530] "POST /expense_tracker/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2024:12:22:03 +0530] "GET /expense_tracker/user/home.jsp HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [26/May/2024:12:22:06 +0530] "GET /expense_tracker/user/view_expense.jsp HTTP/1.1" 200 4695
0:0:0:0:0:0:0:1 - - [26/May/2024:12:22:12 +0530] "GET /expense_tracker/user/home.jsp HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [26/May/2024:12:22:16 +0530] "GET /expense_tracker/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2024:12:22:16 +0530] "GET /expense_tracker/login.jsp HTTP/1.1" 200 3178
0:0:0:0:0:0:0:1 - - [26/May/2024:13:40:56 +0530] "GET /expense_tracker/login.jsp HTTP/1.1" 200 3091
0:0:0:0:0:0:0:1 - - [26/May/2024:13:41:10 +0530] "POST /expense_tracker/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2024:13:41:10 +0530] "GET /expense_tracker/user/home.jsp HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [26/May/2024:13:41:16 +0530] "GET /expense_tracker/user/view_expense.jsp HTTP/1.1" 200 3941
